Animal,min_ae,max_ae,mean_ae,variance_ae,min_rms,max_rms,mean_rms,variance_rms,min_zcr,max_zcr,mean_zcr,variance_zcr,min_fq,max_fq,mean_fq,variance_fq
Dog,0.0038241653,0.7884507,0.081860214,0.03007985581424916,0.0013971275,0.3471996,0.030525882,0.0046312416608804445,0.0185546875,0.1572265625,0.078155517578125,0.0007266092076196939,0.00041380202763062067,153.56313692968575,4.608529711056598,206.0715202880467
Dog,0.03749205,0.9980329,0.31121698,0.036787273562563366,0.017036792,0.56901723,0.085382335,0.008378817517090069,0.0126953125,0.1748046875,0.039950046079088475,0.0007329625488719365,0.00029625969589877773,346.6813264636523,8.64946169161225,672.5352506518276
Dog,0.0,0.9673176,0.16241066,0.04269885642150807,0.0065720086,0.42534214,0.06261346,0.006684071802202063,0.0,0.20703125,0.051142030343326886,0.0016014195914182195,0.00023275579625109527,513.1967401170324,8.60186466152959,627.0154188367093
Dog,0.0016973108,0.84181434,0.11526799,0.024263833708188555,0.00084717746,0.32234865,0.043689493,0.003723131111558262,0.025390625,0.3603515625,0.08414509989369685,0.003041868263501526,0.0003371470546128414,673.2823723700423,11.6616296077991,1304.6417028060453
Dog,0.004889451,1.0206372,0.07741534,0.026513873046579234,0.004222004,0.32211316,0.025400393,0.0024944778498057663,0.0107421875,0.3837890625,0.09949393293976244,0.00427995016487266,1.3789667454862294e-05,521.1720096370051,8.390436639761683,639.8331102927555
Dog,0.0024856096,0.83744824,0.294398,0.08112971755591306,0.0007728289,0.4485117,0.12404996,0.017788582861354024,0.01953125,0.072265625,0.049563953488372094,8.499454455485013e-05,0.00017296764743632165,975.4611261575211,8.705403999250878,1748.0533174661507
Dog,0.009390391,1.0061805,0.26356095,0.1041575810720217,0.002278053,0.39393836,0.09720134,0.015635719301285725,0.0595703125,0.1396484375,0.0925035978618421,0.0003046531177523405,0.00023774595476811758,397.69884511570075,8.571637753542559,656.602834026674
Dog,0.00041855912,0.99107444,0.20538566,0.09438949218238463,5.0378727e-05,0.37685636,0.06510437,0.010484317365701488,0.0439453125,0.162109375,0.10748591188524591,0.0002907501452057042,0.00012088356572728225,420.77080805724313,10.296528730551895,697.3588408769742
Dog,0.0,0.72646713,0.0591291,0.00964446907465095,0.00036044835,0.28788573,0.021329071,0.0012668490457313007,0.0244140625,0.12109375,0.06610247448549257,0.00023083656156253434,1.3386334822891191e-05,383.18895986256814,8.79989769460118,575.63180327121
Dog,0.009955929,0.9816716,0.19371153,0.04546498206761044,0.0036887259,0.43246782,0.07480351,0.007004925722055861,0.0078125,0.095703125,0.04551600743006993,0.000319412110830592,0.0001656827630957859,799.4553143654122,12.313717599180649,1692.6135589531925
Dog,0.007536278,0.9054657,0.2194928,0.03772144354952758,0.004075101,0.34106737,0.080353424,0.00418020181226637,0.01171875,0.107421875,0.06459617614746094,0.0002489034232269761,0.00030488080433141483,534.1399985735022,7.9500838974807575,633.3756841386979
Dog,0.22612534,1.0093254,0.37768787,0.008022553275359662,0.079302184,0.32088917,0.12182967,0.00031301969998632877,0.0615234375,0.212890625,0.12636098604472515,0.00035637751364466994,0.008969054980105123,1272.1461742781723,39.590073174360356,4117.539285630383
Dog,0.0025607983,0.854001,0.22993541,0.013700607314841726,0.0031379426,0.28473464,0.10542672,0.0020640437026992215,0.01953125,0.11328125,0.058866416919575115,0.00017484796110936045,7.842246171923048e-05,761.8925861799586,8.937800188023692,1031.7743813225084
Dog,0.001874762,0.993976,0.20927621,0.03571109923203129,0.0035851302,0.3242821,0.091948345,0.005216703996493304,0.02734375,0.095703125,0.061728817654639175,0.00011504494149548603,0.00046847864838426824,703.9662344498513,7.644437325809182,789.626408453859
Dog,0.0016826941,0.9941127,0.41266116,0.1424934571903003,0.00047577787,0.5109225,0.1567009,0.022261597723805142,0.037109375,0.1318359375,0.07101789692776736,0.00023916951573019993,0.0001324821048723904,961.3237013837518,17.06344610828041,2900.0837425096342
Dog,-0.0021307762,0.9976219,0.27012998,0.016794565038054907,0.0029743807,0.4073499,0.11626376,0.0030290679094048404,0.0087890625,0.1162109375,0.051732749484417966,0.00010939543959697864,0.00019474441616122763,1244.4465030635715,11.131016819180529,2186.7513417464347
Dog,0.009313289,0.9989506,0.19324876,0.02658377528057863,0.004731635,0.31614473,0.07385063,0.0025761074683149834,0.03125,0.1015625,0.06120225694444444,0.0001317288125691158,0.00022438569453071255,488.68458486752905,6.24198308628118,423.2596118460606
Dog,0.0152627565,0.9888606,0.43003765,0.1318257528231492,0.009617727,0.6027414,0.17061725,0.02460286847980226,0.001953125,0.10546875,0.04940406026294053,0.0006350826597047664,0.00011835400309216457,1800.2626943234918,40.349946476924806,10854.40832417601
Dog,0.006493032,1.004674,0.24060127,0.03263231542988274,0.004236427,0.3702398,0.0977569,0.0036501434153298107,0.01953125,0.095703125,0.0625078125,0.0001748417585324018,0.0001422327738368454,687.3393099598352,9.59162790524642,964.1204669043624
